Verein	ZVR-Zahl	Bezirk	Foerderung_ref	Typ	Jahr	Betrag_EUR	Quelle	Fördergegenstand — Anmerkungen	Programm	Kurzname	Verein_key
ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research	1870448466	10	BMKöS	Beschluss	2022	5000.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Vereine Kunst- und Kulturprojekte 	Artwalk		echolot - kulturverein für transdisziplinäre kunst & artistic research
ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research	1870448466	10	BMKöS	Beschluss	2022	4900.0	Kunst- und Kulturbericht des Bundes 2022	ausbezahlt: Vereine Ukrainehilfe Projekte 			echolot - kulturverein für transdisziplinäre kunst & artistic research
ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research	1870448466	10	BMKöS	Beschluss	2023	10000.0	Kunst- und Kulturbericht des Bundes 2023	ausbezahlt: Kulturprogramme und -vermittlung Vereine			echolot - kulturverein für transdisziplinäre kunst & artistic research
ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research	1870448466	10	BMKöS	Beschluss	2024	10500.0	Kunst- und Kulturbericht des Bundes 2024	ausbezahlt: Kulturprogramme und -vermittlung Vereine			echolot - kulturverein für transdisziplinäre kunst & artistic research
ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research	1870448466	10	BMKöS	Beschluss	2025	12000.0	Transparenzportal IFG 2025	ausbezahlt: Kulturprogramme und -vermittlung Vereine			echolot - kulturverein für transdisziplinäre kunst & artistic research
ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research	1870448466	10	BMKöS	Beschluss	2026	12000.0	Transparenzportal IFG 2026	ausbezahlt: Regionale Kulturinitiativen			echolot - kulturverein für transdisziplinäre kunst & artistic research
ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research	1870448466	10	MA7	Beschluss	2025	10000.0	Transparenzportal IFG 2025	ausbezahlt: Förderung von Einzelvorhaben und Jahrestätigkeiten im Bereich der Musik			echolot - kulturverein für transdisziplinäre kunst & artistic research
ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research	1870448466	10	MA7	Beschluss	2025	48000.0	Transparenzportal IFG 2025	ausbezahlt: Förderung von Einzelvorhaben und Jahrestätigkeiten im Bereich der Kulturinitiativen			echolot - kulturverein für transdisziplinäre kunst & artistic research
ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research	1870448466	10	MA7	Beschluss	2026	48000.0	Transparenzportal IFG 2026	ausbezahlt: Förderung von Einzelvorhaben und Jahrestätigkeiten im Bereich der Kulturinitiativen			echolot - kulturverein für transdisziplinäre kunst & artistic research
ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research	1870448466	10	MA7	Beschluss	2026	9000.0	Transparenzportal IFG 2026	ausbezahlt: Förderung von Einzelvorhaben und Jahrestätigkeiten im Bereich der Musik			echolot - kulturverein für transdisziplinäre kunst & artistic research
