Verein	ZVR-Zahl	Bezirk	Foerderung_ref	Typ	Jahr	Betrag_EUR	Quelle	Anmerkungen	Programm	Kurzname	Verein_key
sp ce. Verein zur Förderung von Kunst und Transdisziplinarität	752869720	19	MA7	Beschluss	2023	8000.0	Förderbericht der Stadt Wien 2023 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Zusätzlich 4.000 in Bereich Bildende Kunst (gleiche Quelle). Projekt: Festival SUAL 2023			sp ce. verein zur förderung von kunst und transdisziplinarität
"


""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel:\nVenti"	462456728	18	MA7	Beschluss	2023	8000.0	Förderbericht der Stadt Wien 2023 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: Konzertveranstaltungen 2. Halbjahr 2023		Ventil Records	"


""Ventil"" - Verein zur Freisetzung klanglicher Innovation und Dynamik Kurztitel:\nVenti"
punctum collective, Verein zur Förderung zeitgenössischer Musik und\ntransmedialer Kunstformate	1310873198	5	MA7	Beschluss	2023	8000.0	Förderbericht der Stadt Wien 2023 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: punctum collective Saison 2023	punctum collective Saison		punctum collective, verein zur förderung zeitgenössischer musik und\ntransmedialer kunstformate
"Sounds Queer?"" Feministischer, queerer Verein zur Förderung elektronischer\nMusik"	1784018089	18	MA7	Beschluss	2023	10000.0	Förderbericht der Stadt Wien 2023 – Einzel- und Gesamtförderung im Bereich Musik	ausbezahlt: Projekt: Synth Lab 2023	Synth Lab		"""sounds queer?"" feministischer, queerer verein zur förderung elektronischer\nmusik"
UNSAFE SOUNDS - Verein zur Verteidigung künstlerischer Grauzonen	1670187874	18	MA7	Beschluss	2023	57000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: Mehrjahresförderung 2024-2025		Unsafe+Sounds	unsafe sounds - verein zur verteidigung künstlerischer grauzonen
STRUMA+IODINE - Verein zur Erweiterung musikalischer Erfahrungsräume	1954454117	9	MA7	Beschluss	2023	26000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: Mehrjahresförderung 2024-2025		Struma+Iodine	struma+iodine - verein zur erweiterung musikalischer erfahrungsräume
echoraum Vereinigung zur Förderung der Kulturkommunikation	884318065	15	MA7	Beschluss	2023	110000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: Gesamtförderung 100.000 + Erhöhung 10.000. Monday Improvisers Session		echoraum	echoraum vereinigung zur förderung der kulturkommunikation
id/l Agentur für Kunst und Kultur	214732532	18	MA7	Beschluss	2023	49000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: Sonic Territories 40.000 + Erhöhung 4.000 + Intra-Action 5.000. Vereinsaktivitäten 2024		id/l	id/l agentur für kunst und kultur
Floating Sound Gallery Vienna, Verein zur Förderung von Kunst und Kultur	1534373870	18	MA7	Beschluss	2023	9000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: Projekt: Circuit Fantôme.		Floating Sound Gallery Vienna	floating sound gallery vienna, verein zur förderung von kunst und kultur
Verein für experimentelle improvisierte Musik (VEIM)	[nicht dokumentiert]	4	MA7	Beschluss	2023	11000.0	Förderbericht der Stadt Wien 2023	ausbezahlt: Monday Improvisers Session. Tätigkeiten 2024		Porgy & Bess	verein für experimentelle improvisierte musik (veim)
liccht - kulturverein für nischenmusik und populärkultur	1472352125	3	MA7	Beschluss	2023	20000.0	Förderbericht der Stadt Wien 2023	ausbezahlt		liccht	liccht - kulturverein für nischenmusik und populärkultur
